YEAR,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,cause_of_death,cod_code,DEATHS,POPULATION,Crude Rate
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,Discharge from other and unspecified firearms,W34,17.0,4858979.0,Unreliable
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,Intentional self-harm by handgun discharge,X72,59.0,4858979.0,1.2
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,49.0,4858979.0,1
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,Intentional self-harm by other and unspecified firearm discharge,X74,420.0,4858979.0,8.6
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,Assault by handgun discharge,X93,39.0,4858979.0,0.8
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,"Assault by rifle, shotgun and larger firearm discharge",X94,15.0,4858979.0,Unreliable
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,Assault by other and unspecified firearm discharge,X95,337.0,4858979.0,6.9
2015.0,AL,0.5,0.03,0.0,0.0,0.57,0.74,"Other and unspecified firearm discharge, undetermined intent",Y24,14.0,4858979.0,Unreliable
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Discharge from other and unspecified firearms,W34,19.0,4863300.0,Unreliable
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Intentional self-harm by handgun discharge,X72,91.0,4863300.0,1.9
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,45.0,4863300.0,0.9
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Intentional self-harm by other and unspecified firearm discharge,X74,414.0,4863300.0,8.5
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Assault by handgun discharge,X93,44.0,4863300.0,0.9
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,"Assault by rifle, shotgun and larger firearm discharge",X94,18.0,4863300.0,Unreliable
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Assault by other and unspecified firearm discharge,X95,392.0,4863300.0,8.1
2016.0,AL,0.53,0.03,0.0,0.0,0.65,0.71,Legal intervention involving firearm discharge,Y35.0,12.0,4863300.0,Unreliable
1999.0,AK,0.57,0.04,0.0,0.0,0.45,0.61,Intentional self-harm by handgun discharge,X72,16.0,624779.0,Unreliable
1999.0,AK,0.57,0.04,0.0,0.0,0.45,0.61,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,18.0,624779.0,Unreliable
1999.0,AK,0.57,0.04,0.0,0.0,0.45,0.61,Intentional self-harm by other and unspecified firearm discharge,X74,21.0,624779.0,3.4
1999.0,AK,0.57,0.04,0.0,0.0,0.45,0.61,Assault by other and unspecified firearm discharge,X95,25.0,624779.0,4
2000.0,AK,0.6,0.04,0.0,0.0,0.52,0.74,Intentional self-harm by handgun discharge,X72,30.0,626932.0,4.8
2000.0,AK,0.6,0.04,0.0,0.0,0.52,0.74,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,28.0,626932.0,4.5
2000.0,AK,0.6,0.04,0.0,0.0,0.52,0.74,Intentional self-harm by other and unspecified firearm discharge,X74,38.0,626932.0,6.1
2000.0,AK,0.6,0.04,0.0,0.0,0.52,0.74,Assault by other and unspecified firearm discharge,X95,16.0,626932.0,Unreliable
2001.0,AK,0.61,0.02,0.0,0.0,0.3,0.72,Intentional self-harm by other and unspecified firearm discharge,X74,61.0,633714.0,9.6
2001.0,AK,0.61,0.02,0.0,0.0,0.3,0.72,Assault by other and unspecified firearm discharge,X95,21.0,633714.0,3.3
2002.0,AK,0.61,0.02,0.0,0.0,0.63,0.72,Intentional self-harm by other and unspecified firearm discharge,X74,87.0,642337.0,13.5
2002.0,AK,0.61,0.02,0.0,0.0,0.63,0.72,Assault by other and unspecified firearm discharge,X95,24.0,642337.0,3.7
2003.0,AK,0.59,0.04,0.0,0.0,0.36,0.71,Intentional self-harm by other and unspecified firearm discharge,X74,76.0,648414.0,11.7
2003.0,AK,0.59,0.04,0.0,0.0,0.36,0.71,Assault by other and unspecified firearm discharge,X95,30.0,648414.0,4.6
2004.0,AK,0.58,0.02,0.0,0.0,0.3,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,89.0,659286.0,13.5
2004.0,AK,0.58,0.02,0.0,0.0,0.3,0.7,Assault by other and unspecified firearm discharge,X95,18.0,659286.0,Unreliable
2005.0,AK,0.61,0.04,0.0,0.0,0.56,0.69,Intentional self-harm by other and unspecified firearm discharge,X74,81.0,666946.0,12.1
2005.0,AK,0.61,0.04,0.0,0.0,0.56,0.69,Assault by other and unspecified firearm discharge,X95,23.0,666946.0,3.4
2006.0,AK,0.55,0.04,0.0,0.0,0.32,0.66,Intentional self-harm by other and unspecified firearm discharge,X74,68.0,675302.0,10.1
2006.0,AK,0.55,0.04,0.0,0.0,0.32,0.66,Assault by other and unspecified firearm discharge,X95,25.0,675302.0,3.7
2007.0,AK,0.58,0.04,0.0,0.0,0.35,0.69,Intentional self-harm by other and unspecified firearm discharge,X74,87.0,680300.0,12.8
2007.0,AK,0.58,0.04,0.0,0.0,0.35,0.69,Assault by other and unspecified firearm discharge,X95,22.0,680300.0,3.2
2008.0,AK,0.61,0.04,0.0,0.0,0.38,0.76,Intentional self-harm by handgun discharge,X72,58.0,687455.0,8.4
2008.0,AK,0.61,0.04,0.0,0.0,0.38,0.76,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,687455.0,6.1
2008.0,AK,0.61,0.04,0.0,0.0,0.38,0.76,Intentional self-harm by other and unspecified firearm discharge,X74,16.0,687455.0,Unreliable
2009.0,AK,0.54,0.04,0.0,0.0,0.34,0.61,Intentional self-harm by handgun discharge,X72,43.0,698895.0,6.2
2009.0,AK,0.54,0.04,0.0,0.0,0.34,0.61,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,33.0,698895.0,4.7
2009.0,AK,0.54,0.04,0.0,0.0,0.34,0.61,Assault by other and unspecified firearm discharge,X95,15.0,698895.0,Unreliable
2010.0,AK,0.61,0.04,0.0,0.0,0.62,0.66,Intentional self-harm by handgun discharge,X72,67.0,710231.0,9.4
2010.0,AK,0.61,0.04,0.0,0.0,0.62,0.66,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,32.0,710231.0,4.5
2010.0,AK,0.61,0.04,0.0,0.0,0.62,0.66,Assault by other and unspecified firearm discharge,X95,28.0,710231.0,3.9
2011.0,AK,0.63,0.04,0.0,0.0,0.59,0.72,Intentional self-harm by handgun discharge,X72,49.0,722718.0,6.8
2011.0,AK,0.63,0.04,0.0,0.0,0.59,0.72,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,31.0,722718.0,4.3
2011.0,AK,0.63,0.04,0.0,0.0,0.59,0.72,Intentional self-harm by other and unspecified firearm discharge,X74,19.0,722718.0,Unreliable
2011.0,AK,0.63,0.04,0.0,0.0,0.59,0.72,Assault by other and unspecified firearm discharge,X95,17.0,722718.0,Unreliable
2012.0,AK,0.61,0.03,0.0,0.0,0.39,0.62,Intentional self-harm by handgun discharge,X72,42.0,731449.0,5.7
2012.0,AK,0.61,0.03,0.0,0.0,0.39,0.62,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,29.0,731449.0,4
2012.0,AK,0.61,0.03,0.0,0.0,0.39,0.62,Intentional self-harm by other and unspecified firearm discharge,X74,27.0,731449.0,3.7
2012.0,AK,0.61,0.03,0.0,0.0,0.39,0.62,Assault by other and unspecified firearm discharge,X95,17.0,731449.0,Unreliable
2013.0,AK,0.58,0.03,0.0,0.0,0.5,0.75,Intentional self-harm by handgun discharge,X72,65.0,735132.0,8.8
2013.0,AK,0.58,0.03,0.0,0.0,0.5,0.75,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,40.0,735132.0,5.4
2013.0,AK,0.58,0.03,0.0,0.0,0.5,0.75,Intentional self-harm by other and unspecified firearm discharge,X74,15.0,735132.0,Unreliable
2013.0,AK,0.58,0.03,0.0,0.0,0.5,0.75,Assault by other and unspecified firearm discharge,X95,16.0,735132.0,Unreliable
2014.0,AK,0.62,0.04,0.0,0.0,0.41,0.75,Intentional self-harm by handgun discharge,X72,52.0,736732.0,7.1
2014.0,AK,0.62,0.04,0.0,0.0,0.41,0.75,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,25.0,736732.0,3.4
2014.0,AK,0.62,0.04,0.0,0.0,0.41,0.75,Intentional self-harm by other and unspecified firearm discharge,X74,38.0,736732.0,5.2
2014.0,AK,0.62,0.04,0.0,0.0,0.41,0.75,Assault by other and unspecified firearm discharge,X95,18.0,736732.0,Unreliable
2015.0,AK,0.55,0.03,0.0,0.0,0.51,0.64,Intentional self-harm by handgun discharge,X72,64.0,738432.0,8.7
2015.0,AK,0.55,0.03,0.0,0.0,0.51,0.64,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,21.0,738432.0,2.8
2015.0,AK,0.55,0.03,0.0,0.0,0.51,0.64,Intentional self-harm by other and unspecified firearm discharge,X74,38.0,738432.0,5.1
2015.0,AK,0.55,0.03,0.0,0.0,0.51,0.64,Assault by other and unspecified firearm discharge,X95,33.0,738432.0,4.5
2016.0,AK,0.57,0.03,0.0,0.0,0.37,0.65,Intentional self-harm by handgun discharge,X72,47.0,741894.0,6.3
2016.0,AK,0.57,0.03,0.0,0.0,0.37,0.65,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,20.0,741894.0,2.7
2016.0,AK,0.57,0.03,0.0,0.0,0.37,0.65,Intentional self-harm by other and unspecified firearm discharge,X74,46.0,741894.0,6.2
2016.0,AK,0.57,0.03,0.0,0.0,0.37,0.65,Assault by other and unspecified firearm discharge,X95,43.0,741894.0,5.8
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,Discharge from other and unspecified firearms,W34,17.0,5023823.0,Unreliable
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,Intentional self-harm by handgun discharge,X72,134.0,5023823.0,2.7
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,43.0,5023823.0,0.9
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,Intentional self-harm by other and unspecified firearm discharge,X74,299.0,5023823.0,6
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,"Assault by rifle, shotgun and larger firearm discharge",X94,18.0,5023823.0,Unreliable
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,Assault by other and unspecified firearm discharge,X95,280.0,5023823.0,5.6
1999.0,AZ,0.41,0.04,0.0,0.0,0.38,0.69,Legal intervention involving firearm discharge,Y35.0,17.0,5023823.0,Unreliable
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,Discharge from other and unspecified firearms,W34,12.0,5130632.0,Unreliable
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,Intentional self-harm by handgun discharge,X72,75.0,5130632.0,1.5
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,37.0,5130632.0,0.7
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,Intentional self-harm by other and unspecified firearm discharge,X74,377.0,5130632.0,7.3
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,"Assault by rifle, shotgun and larger firearm discharge",X94,16.0,5130632.0,Unreliable
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,Assault by other and unspecified firearm discharge,X95,255.0,5130632.0,5
2000.0,AZ,0.43,0.03,0.0,0.0,0.34,0.69,"Other and unspecified firearm discharge, undetermined intent",Y24,11.0,5130632.0,Unreliable
2001.0,AZ,0.35,0.02,0.0,0.0,0.43,0.65,Discharge from other and unspecified firearms,W34,12.0,5273477.0,Unreliable
2001.0,AZ,0.35,0.02,0.0,0.0,0.43,0.65,Intentional self-harm by handgun discharge,X72,60.0,5273477.0,1.1
2001.0,AZ,0.35,0.02,0.0,0.0,0.43,0.65,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,40.0,5273477.0,0.8
2001.0,AZ,0.35,0.02,0.0,0.0,0.43,0.65,Intentional self-harm by other and unspecified firearm discharge,X74,368.0,5273477.0,7
