YEAR,STATE,HFR,HFR_se,universl,permit,Fem_FS_S,Male_FS_S,Cause of death,Cause of death Code,DEATHS,POPULATION,Crude Rate
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,54.0,4467634.0,1.2
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,Intentional self-harm by other and unspecified firearm discharge,X74,268.0,4467634.0,6
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,Assault by handgun discharge,X93,32.0,4467634.0,0.7
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,"Assault by rifle, shotgun and larger firearm discharge",X94,34.0,4467634.0,0.8
2001.0,Alabama,0.522,0.021,0.0,0.0,0.608247423,0.7903614459999999,Assault by other and unspecified firearm discharge,X95,236.0,4467634.0,5.3
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,Discharge from other and unspecified firearms,W34,36.0,4480089.0,0.8
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,Intentional self-harm by handgun discharge,X72,56.0,4480089.0,1.2
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,47.0,4480089.0,1
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,Intentional self-harm by other and unspecified firearm discharge,X74,278.0,4480089.0,6.2
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,Assault by handgun discharge,X93,44.0,4480089.0,1
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4480089.0,0.5
2002.0,Alabama,0.5529999999999999,0.02,0.0,0.0,0.565656566,0.78313253,Assault by other and unspecified firearm discharge,X95,224.0,4480089.0,5
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,Discharge from other and unspecified firearms,W34,34.0,4503491.0,0.8
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,Intentional self-harm by handgun discharge,X72,54.0,4503491.0,1.2
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,49.0,4503491.0,1.1
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,Intentional self-harm by other and unspecified firearm discharge,X74,296.0,4503491.0,6.6
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,Assault by handgun discharge,X93,36.0,4503491.0,0.8
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,"Assault by rifle, shotgun and larger firearm discharge",X94,26.0,4503491.0,0.6
2003.0,Alabama,0.504,0.032,0.0,0.0,0.697916667,0.781176471,Assault by other and unspecified firearm discharge,X95,260.0,4503491.0,5.8
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,Discharge from other and unspecified firearms,W34,27.0,4530729.0,0.6
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,Intentional self-harm by handgun discharge,X72,53.0,4530729.0,1.2
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,4530729.0,0.9
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,Intentional self-harm by other and unspecified firearm discharge,X74,280.0,4530729.0,6.2
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,Assault by handgun discharge,X93,34.0,4530729.0,0.8
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,"Assault by rifle, shotgun and larger firearm discharge",X94,21.0,4530729.0,0.5
2004.0,Alabama,0.516,0.018000000000000002,0.0,0.0,0.5773195879999999,0.718468468,Assault by other and unspecified firearm discharge,X95,207.0,4530729.0,4.6
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,Discharge from other and unspecified firearms,W34,34.0,4569805.0,0.7
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,Intentional self-harm by handgun discharge,X72,54.0,4569805.0,1.2
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,45.0,4569805.0,1
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,Intentional self-harm by other and unspecified firearm discharge,X74,270.0,4569805.0,5.9
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,Assault by handgun discharge,X93,30.0,4569805.0,0.7
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,"Assault by rifle, shotgun and larger firearm discharge",X94,24.0,4569805.0,0.5
2005.0,Alabama,0.485,0.044000000000000004,0.0,0.0,0.645833333,0.699316629,Assault by other and unspecified firearm discharge,X95,265.0,4569805.0,5.8
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,Discharge from other and unspecified firearms,W34,35.0,4628981.0,0.8
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,Intentional self-harm by handgun discharge,X72,43.0,4628981.0,0.9
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,40.0,4628981.0,0.9
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,Intentional self-harm by other and unspecified firearm discharge,X74,317.0,4628981.0,6.8
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,Assault by handgun discharge,X93,26.0,4628981.0,0.6
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,"Assault by rifle, shotgun and larger firearm discharge",X94,32.0,4628981.0,0.7
2006.0,Alabama,0.46799999999999997,0.035,0.0,0.0,0.572916667,0.7128099170000001,Assault by other and unspecified firearm discharge,X95,275.0,4628981.0,5.9
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,Discharge from other and unspecified firearms,W34,22.0,4672840.0,0.5
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,Intentional self-harm by handgun discharge,X72,57.0,4672840.0,1.2
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,37.0,4672840.0,0.8
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,Intentional self-harm by other and unspecified firearm discharge,X74,302.0,4672840.0,6.5
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,Assault by handgun discharge,X93,37.0,4672840.0,0.8
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,"Assault by rifle, shotgun and larger firearm discharge",X94,22.0,4672840.0,0.5
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,Assault by other and unspecified firearm discharge,X95,319.0,4672840.0,6.8
2007.0,Alabama,0.48100000000000004,0.032,0.0,0.0,0.56557377,0.695744681,"Other and unspecified firearm discharge, undetermined intent",Y24,12.0,4672840.0,Unreliable
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,Discharge from other and unspecified firearms,W34,29.0,4718206.0,0.6
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,Intentional self-harm by handgun discharge,X72,49.0,4718206.0,1
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,39.0,4718206.0,0.8
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,Intentional self-harm by other and unspecified firearm discharge,X74,336.0,4718206.0,7.1
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,Assault by handgun discharge,X93,31.0,4718206.0,0.7
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,"Assault by rifle, shotgun and larger firearm discharge",X94,21.0,4718206.0,0.4
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,Assault by other and unspecified firearm discharge,X95,297.0,4718206.0,6.3
2008.0,Alabama,0.503,0.035,0.0,0.0,0.545454545,0.741200828,"Other and unspecified firearm discharge, undetermined intent",Y24,13.0,4718206.0,Unreliable
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,Discharge from other and unspecified firearms,W34,27.0,4757938.0,0.6
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,Intentional self-harm by handgun discharge,X72,60.0,4757938.0,1.3
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,46.0,4757938.0,1
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,Intentional self-harm by other and unspecified firearm discharge,X74,373.0,4757938.0,7.8
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,Assault by handgun discharge,X93,28.0,4757938.0,0.6
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,"Assault by rifle, shotgun and larger firearm discharge",X94,18.0,4757938.0,Unreliable
2009.0,Alabama,0.48200000000000004,0.032,0.0,0.0,0.561538462,0.747697974,Assault by other and unspecified firearm discharge,X95,271.0,4757938.0,5.7
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,Discharge from other and unspecified firearms,W34,33.0,4779736.0,0.7
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,Intentional self-harm by handgun discharge,X72,29.0,4779736.0,0.6
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,30.0,4779736.0,0.6
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,Intentional self-harm by other and unspecified firearm discharge,X74,395.0,4779736.0,8.3
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,Assault by handgun discharge,X93,14.0,4779736.0,Unreliable
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,"Assault by rifle, shotgun and larger firearm discharge",X94,14.0,4779736.0,Unreliable
2010.0,Alabama,0.456,0.027999999999999997,0.0,0.0,0.546099291,0.700743494,Assault by other and unspecified firearm discharge,X95,255.0,4779736.0,5.3
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,Discharge from other and unspecified firearms,W34,23.0,4802740.0,0.5
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,Intentional self-harm by handgun discharge,X72,38.0,4802740.0,0.8
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,36.0,4802740.0,0.7
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,Intentional self-harm by other and unspecified firearm discharge,X74,378.0,4802740.0,7.9
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,Assault by handgun discharge,X93,15.0,4802740.0,Unreliable
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,"Assault by rifle, shotgun and larger firearm discharge",X94,13.0,4802740.0,Unreliable
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,Assault by other and unspecified firearm discharge,X95,264.0,4802740.0,5.5
2011.0,Alabama,0.513,0.032,0.0,0.0,0.653225806,0.7,"Other and unspecified firearm discharge, undetermined intent",Y24,15.0,4802740.0,Unreliable
2012.0,Alabama,0.5429999999999999,0.026000000000000002,0.0,0.0,0.623188406,0.706484642,Discharge from other and unspecified firearms,W34,11.0,4822023.0,Unreliable
2012.0,Alabama,0.5429999999999999,0.026000000000000002,0.0,0.0,0.623188406,0.706484642,Intentional self-harm by handgun discharge,X72,42.0,4822023.0,0.9
2012.0,Alabama,0.5429999999999999,0.026000000000000002,0.0,0.0,0.623188406,0.706484642,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,37.0,4822023.0,0.8
2012.0,Alabama,0.5429999999999999,0.026000000000000002,0.0,0.0,0.623188406,0.706484642,Intentional self-harm by other and unspecified firearm discharge,X74,421.0,4822023.0,8.7
2012.0,Alabama,0.5429999999999999,0.026000000000000002,0.0,0.0,0.623188406,0.706484642,Assault by other and unspecified firearm discharge,X95,294.0,4822023.0,6.1
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,Discharge from other and unspecified firearms,W34,20.0,4833722.0,0.4
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,Intentional self-harm by handgun discharge,X72,36.0,4833722.0,0.7
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,33.0,4833722.0,0.7
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,Intentional self-harm by other and unspecified firearm discharge,X74,435.0,4833722.0,9
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,Assault by handgun discharge,X93,16.0,4833722.0,Unreliable
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,"Assault by rifle, shotgun and larger firearm discharge",X94,12.0,4833722.0,Unreliable
2013.0,Alabama,0.516,0.032,0.0,0.0,0.562091503,0.7359154929999999,Assault by other and unspecified firearm discharge,X95,289.0,4833722.0,6
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,Discharge from other and unspecified firearms,W34,21.0,4849377.0,0.4
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,Intentional self-harm by handgun discharge,X72,43.0,4849377.0,0.9
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,4849377.0,0.9
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,Intentional self-harm by other and unspecified firearm discharge,X74,394.0,4849377.0,8.1
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,Assault by handgun discharge,X93,14.0,4849377.0,Unreliable
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,"Assault by rifle, shotgun and larger firearm discharge",X94,16.0,4849377.0,Unreliable
2014.0,Alabama,0.51,0.035,0.0,0.0,0.5958904110000001,0.688927944,Assault by other and unspecified firearm discharge,X95,262.0,4849377.0,5.4
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,Discharge from other and unspecified firearms,W34,17.0,4858979.0,Unreliable
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,Intentional self-harm by handgun discharge,X72,59.0,4858979.0,1.2
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,49.0,4858979.0,1
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,Intentional self-harm by other and unspecified firearm discharge,X74,420.0,4858979.0,8.6
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,Assault by handgun discharge,X93,39.0,4858979.0,0.8
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,"Assault by rifle, shotgun and larger firearm discharge",X94,15.0,4858979.0,Unreliable
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,Assault by other and unspecified firearm discharge,X95,337.0,4858979.0,6.9
2015.0,Alabama,0.495,0.032,0.0,0.0,0.575,0.738983051,"Other and unspecified firearm discharge, undetermined intent",Y24,14.0,4858979.0,Unreliable
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Discharge from other and unspecified firearms,W34,19.0,4863300.0,Unreliable
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Intentional self-harm by handgun discharge,X72,91.0,4863300.0,1.9
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,45.0,4863300.0,0.9
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Intentional self-harm by other and unspecified firearm discharge,X74,414.0,4863300.0,8.5
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Assault by handgun discharge,X93,44.0,4863300.0,0.9
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,"Assault by rifle, shotgun and larger firearm discharge",X94,18.0,4863300.0,Unreliable
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Assault by other and unspecified firearm discharge,X95,392.0,4863300.0,8.1
2016.0,Alabama,0.528,0.027999999999999997,0.0,0.0,0.646341463,0.711538462,Legal intervention involving firearm discharge,Y35.0,12.0,4863300.0,Unreliable
1999.0,Alaska,0.5710000000000001,0.044000000000000004,0.0,0.0,0.454545455,0.6081081079999999,Intentional self-harm by handgun discharge,X72,16.0,624779.0,Unreliable
1999.0,Alaska,0.5710000000000001,0.044000000000000004,0.0,0.0,0.454545455,0.6081081079999999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,18.0,624779.0,Unreliable
1999.0,Alaska,0.5710000000000001,0.044000000000000004,0.0,0.0,0.454545455,0.6081081079999999,Intentional self-harm by other and unspecified firearm discharge,X74,21.0,624779.0,3.4
1999.0,Alaska,0.5710000000000001,0.044000000000000004,0.0,0.0,0.454545455,0.6081081079999999,Assault by other and unspecified firearm discharge,X95,25.0,624779.0,4
2000.0,Alaska,0.601,0.035,0.0,0.0,0.52,0.7410714290000001,Intentional self-harm by handgun discharge,X72,30.0,626932.0,4.8
2000.0,Alaska,0.601,0.035,0.0,0.0,0.52,0.7410714290000001,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,28.0,626932.0,4.5
2000.0,Alaska,0.601,0.035,0.0,0.0,0.52,0.7410714290000001,Intentional self-harm by other and unspecified firearm discharge,X74,38.0,626932.0,6.1
2000.0,Alaska,0.601,0.035,0.0,0.0,0.52,0.7410714290000001,Assault by other and unspecified firearm discharge,X95,16.0,626932.0,Unreliable
2001.0,Alaska,0.61,0.021,0.0,0.0,0.3,0.719512195,Intentional self-harm by other and unspecified firearm discharge,X74,61.0,633714.0,9.6
2001.0,Alaska,0.61,0.021,0.0,0.0,0.3,0.719512195,Assault by other and unspecified firearm discharge,X95,21.0,633714.0,3.3
2002.0,Alaska,0.614,0.02,0.0,0.0,0.628571429,0.721649485,Intentional self-harm by other and unspecified firearm discharge,X74,87.0,642337.0,13.5
2002.0,Alaska,0.614,0.02,0.0,0.0,0.628571429,0.721649485,Assault by other and unspecified firearm discharge,X95,24.0,642337.0,3.7
2003.0,Alaska,0.5870000000000001,0.044000000000000004,0.0,0.0,0.36,0.7070707070000001,Intentional self-harm by other and unspecified firearm discharge,X74,76.0,648414.0,11.7
2003.0,Alaska,0.5870000000000001,0.044000000000000004,0.0,0.0,0.36,0.7070707070000001,Assault by other and unspecified firearm discharge,X95,30.0,648414.0,4.6
2004.0,Alaska,0.58,0.021,0.0,0.0,0.297297297,0.703389831,Intentional self-harm by other and unspecified firearm discharge,X74,89.0,659286.0,13.5
2004.0,Alaska,0.58,0.021,0.0,0.0,0.297297297,0.703389831,Assault by other and unspecified firearm discharge,X95,18.0,659286.0,Unreliable
2005.0,Alaska,0.609,0.044000000000000004,0.0,0.0,0.5555555560000001,0.692307692,Intentional self-harm by other and unspecified firearm discharge,X74,81.0,666946.0,12.1
2005.0,Alaska,0.609,0.044000000000000004,0.0,0.0,0.5555555560000001,0.692307692,Assault by other and unspecified firearm discharge,X95,23.0,666946.0,3.4
2006.0,Alaska,0.551,0.044000000000000004,0.0,0.0,0.322580645,0.663461538,Intentional self-harm by other and unspecified firearm discharge,X74,68.0,675302.0,10.1
2006.0,Alaska,0.551,0.044000000000000004,0.0,0.0,0.322580645,0.663461538,Assault by other and unspecified firearm discharge,X95,25.0,675302.0,3.7
2007.0,Alaska,0.5770000000000001,0.044000000000000004,0.0,0.0,0.346153846,0.6910569109999999,Intentional self-harm by other and unspecified firearm discharge,X74,87.0,680300.0,12.8
2007.0,Alaska,0.5770000000000001,0.044000000000000004,0.0,0.0,0.346153846,0.6910569109999999,Assault by other and unspecified firearm discharge,X95,22.0,680300.0,3.2
2008.0,Alaska,0.613,0.044000000000000004,0.0,0.0,0.382352941,0.762962963,Intentional self-harm by handgun discharge,X72,58.0,687455.0,8.4
2008.0,Alaska,0.613,0.044000000000000004,0.0,0.0,0.382352941,0.762962963,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,42.0,687455.0,6.1
2008.0,Alaska,0.613,0.044000000000000004,0.0,0.0,0.382352941,0.762962963,Intentional self-harm by other and unspecified firearm discharge,X74,16.0,687455.0,Unreliable
2009.0,Alaska,0.5429999999999999,0.044000000000000004,0.0,0.0,0.34375,0.6126126129999999,Intentional self-harm by handgun discharge,X72,43.0,698895.0,6.2
2009.0,Alaska,0.5429999999999999,0.044000000000000004,0.0,0.0,0.34375,0.6126126129999999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,33.0,698895.0,4.7
2009.0,Alaska,0.5429999999999999,0.044000000000000004,0.0,0.0,0.34375,0.6126126129999999,Assault by other and unspecified firearm discharge,X95,15.0,698895.0,Unreliable
2010.0,Alaska,0.611,0.044000000000000004,0.0,0.0,0.6176470589999999,0.661538462,Intentional self-harm by handgun discharge,X72,67.0,710231.0,9.4
2010.0,Alaska,0.611,0.044000000000000004,0.0,0.0,0.6176470589999999,0.661538462,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,32.0,710231.0,4.5
2010.0,Alaska,0.611,0.044000000000000004,0.0,0.0,0.6176470589999999,0.661538462,Assault by other and unspecified firearm discharge,X95,28.0,710231.0,3.9
2011.0,Alaska,0.627,0.044000000000000004,0.0,0.0,0.5862068970000001,0.7192982459999999,Intentional self-harm by handgun discharge,X72,49.0,722718.0,6.8
2011.0,Alaska,0.627,0.044000000000000004,0.0,0.0,0.5862068970000001,0.7192982459999999,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,31.0,722718.0,4.3
2011.0,Alaska,0.627,0.044000000000000004,0.0,0.0,0.5862068970000001,0.7192982459999999,Intentional self-harm by other and unspecified firearm discharge,X74,19.0,722718.0,Unreliable
2011.0,Alaska,0.627,0.044000000000000004,0.0,0.0,0.5862068970000001,0.7192982459999999,Assault by other and unspecified firearm discharge,X95,17.0,722718.0,Unreliable
2012.0,Alaska,0.607,0.028999999999999998,0.0,0.0,0.39285714299999996,0.621428571,Intentional self-harm by handgun discharge,X72,42.0,731449.0,5.7
2012.0,Alaska,0.607,0.028999999999999998,0.0,0.0,0.39285714299999996,0.621428571,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,29.0,731449.0,4
2012.0,Alaska,0.607,0.028999999999999998,0.0,0.0,0.39285714299999996,0.621428571,Intentional self-harm by other and unspecified firearm discharge,X74,27.0,731449.0,3.7
2012.0,Alaska,0.607,0.028999999999999998,0.0,0.0,0.39285714299999996,0.621428571,Assault by other and unspecified firearm discharge,X95,17.0,731449.0,Unreliable
2013.0,Alaska,0.5760000000000001,0.032,0.0,0.0,0.5,0.751824818,Intentional self-harm by handgun discharge,X72,65.0,735132.0,8.8
2013.0,Alaska,0.5760000000000001,0.032,0.0,0.0,0.5,0.751824818,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,40.0,735132.0,5.4
2013.0,Alaska,0.5760000000000001,0.032,0.0,0.0,0.5,0.751824818,Intentional self-harm by other and unspecified firearm discharge,X74,15.0,735132.0,Unreliable
2013.0,Alaska,0.5760000000000001,0.032,0.0,0.0,0.5,0.751824818,Assault by other and unspecified firearm discharge,X95,16.0,735132.0,Unreliable
2014.0,Alaska,0.618,0.044000000000000004,0.0,0.0,0.413793103,0.7463768120000001,Intentional self-harm by handgun discharge,X72,52.0,736732.0,7.1
2014.0,Alaska,0.618,0.044000000000000004,0.0,0.0,0.413793103,0.7463768120000001,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,25.0,736732.0,3.4
2014.0,Alaska,0.618,0.044000000000000004,0.0,0.0,0.413793103,0.7463768120000001,Intentional self-harm by other and unspecified firearm discharge,X74,38.0,736732.0,5.2
